model_name; number_of_approximations; coeff_of_determination;
6_column_3_row_1_SGD;875520;0.9484973723804508;
6_column_4_row_1_SGD;655360;0.9467115140967961;
6_column_5_row_1_SGD;527360;0.9492299665160813;
6_column_1_row_2_SGD;1310720;0.9500657735905486;
6_column_2_row_2_SGD;655360;0.9507909714462969;
6_column_3_row_2_SGD;437760;0.9483403147711145;
6_column_4_row_2_SGD;327680;0.9449462348621216;
6_column_5_row_2_SGD;263680;0.9508755677819095;
6_column_1_row_3_SGD;875520;0.9440695067480401;
6_column_2_row_3_SGD;437760;0.943315960276263;
6_column_3_row_3_SGD;292410;0.9459432442263078;
6_column_4_row_3_SGD;218880;0.9410683209517501;
6_column_5_row_3_SGD;176130;0.9444468362859815;
6_column_1_row_4_SGD;655360;0.9491182846020207;
6_column_2_row_4_SGD;327680;0.9466096441403584;
6_column_3_row_4_SGD;218880;0.946605039024686;
6_column_4_row_4_SGD;163840;0.9511345172611906;
6_column_5_row_4_SGD;131840;0.9504641476768161;
6_column_1_row_5_SGD;527360;0.9499126359875585;
6_column_2_row_5_SGD;263680;0.9515442066814321;
6_column_3_row_5_SGD;176130;0.9448195314921479;
6_column_4_row_5_SGD;131840;0.950535719216121;
6_column_5_row_5_SGD;106090;0.9465596811537218;
6_column_1_row_1_Ridge;2621440;0.9500112533951145;
6_column_2_row_1_Ridge;1310720;0.9498787529722942;
6_column_3_row_1_Ridge;875520;0.9501925911459874;
6_column_4_row_1_Ridge;655360;0.9497392047002419;
6_column_5_row_1_Ridge;527360;0.9497634523230317;
6_column_1_row_2_Ridge;1310720;0.9506661461039074;
6_column_2_row_2_Ridge;655360;0.9506028678702206;
6_column_3_row_2_Ridge;437760;0.950719899384283;
6_column_4_row_2_Ridge;327680;0.9504429029427287;
6_column_5_row_2_Ridge;263680;0.9502201471201848;
6_column_1_row_3_Ridge;875520;0.9494456101276149;
6_column_2_row_3_Ridge;437760;0.9490775969828756;
6_column_3_row_3_Ridge;292410;0.9496089082634063;
6_column_4_row_3_Ridge;218880;0.9480783124572383;
6_column_5_row_3_Ridge;176130;0.9496303006868331;
6_column_1_row_4_Ridge;655360;0.9503106590363949;
6_column_2_row_4_Ridge;327680;0.9500410560266952;
6_column_3_row_4_Ridge;218880;0.9501980050659545;
6_column_4_row_4_Ridge;163840;0.9500356184254353;
6_column_5_row_4_Ridge;131840;0.9498111672420186;
6_column_1_row_5_Ridge;527360;0.951142377442809;
6_column_2_row_5_Ridge;263680;0.9509612089004259;
6_column_3_row_5_Ridge;176130;0.951075357509009;
6_column_4_row_5_Ridge;131840;0.9511037907797656;
6_column_5_row_5_Ridge;106090;0.9502685739453036;
7_column_1_row_1_SGD;2621440;0.9507142010615479;
7_column_2_row_1_SGD;1310720;0.9532178427236289;
7_column_3_row_1_SGD;875520;0.955951191107229;
7_column_4_row_1_SGD;655360;0.9554999196739484;
7_column_5_row_1_SGD;527360;0.9535832294444466;
7_column_1_row_2_SGD;1310720;0.9567492775039457;
7_column_2_row_2_SGD;655360;0.9545688568930129;
7_column_3_row_2_SGD;437760;0.9542275663285891;
7_column_4_row_2_SGD;327680;0.9579625170923427;
7_column_5_row_2_SGD;263680;0.9542142001374029;
7_column_1_row_3_SGD;875520;0.9533486799797252;
7_column_2_row_3_SGD;437760;0.9482220203507664;
7_column_3_row_3_SGD;292410;0.9509268850920043;
7_column_4_row_3_SGD;218880;0.9568449703346397;
7_column_5_row_3_SGD;176130;0.9586747185880715;
7_column_1_row_4_SGD;655360;0.9564523505113329;
7_column_2_row_4_SGD;327680;0.954252023357771;
7_column_3_row_4_SGD;218880;0.9543300181160363;
7_column_4_row_4_SGD;163840;0.9545886411700063;
7_column_5_row_4_SGD;131840;0.9549938930536672;
7_column_1_row_5_SGD;527360;0.955296456118917;
7_column_2_row_5_SGD;263680;0.9548392758198384;
7_column_3_row_5_SGD;176130;0.9549027011377612;
7_column_4_row_5_SGD;131840;0.9570603751007631;
7_column_5_row_5_SGD;106090;0.9556075579659185;
7_column_1_row_1_Ridge;2621440;0.9569073498398472;
7_column_2_row_1_Ridge;1310720;0.956798269844352;
7_column_3_row_1_Ridge;875520;0.9571317680173924;
7_column_4_row_1_Ridge;655360;0.9566925273454739;
7_column_5_row_1_Ridge;527360;0.9568177343602591;
7_column_1_row_2_Ridge;1310720;0.9574630185013829;
7_column_2_row_2_Ridge;655360;0.9574396639589218;
7_column_3_row_2_Ridge;437760;0.9574773008796577;
7_column_4_row_2_Ridge;327680;0.9573824355888886;
7_column_5_row_2_Ridge;263680;0.957013702578561;
7_column_1_row_3_Ridge;875520;0.956616548440722;
7_column_2_row_3_Ridge;437760;0.9563788482371716;
7_column_3_row_3_Ridge;292410;0.9567974565533122;
7_column_4_row_3_Ridge;218880;0.9556014045366621;
7_column_5_row_3_Ridge;176130;0.9568703081242191;
7_column_1_row_4_Ridge;655360;0.9571749728940104;
7_column_2_row_4_Ridge;327680;0.9569945867427827;
7_column_3_row_4_Ridge;218880;0.9570489403499076;
7_column_4_row_4_Ridge;163840;0.9570406397454825;
7_column_5_row_4_Ridge;131840;0.9567254010885442;
7_column_1_row_5_Ridge;527360;0.9580207785579998;
7_column_2_row_5_Ridge;263680;0.9577932406040923;
7_column_3_row_5_Ridge;176130;0.9581248617178797;
7_column_4_row_5_Ridge;131840;0.9578554731088966;
7_column_5_row_5_Ridge;106090;0.957187047611965;
8_column_1_row_1_SGD;2621440;0.9614516931855509;
8_column_2_row_1_SGD;1310720;0.9607843464679758;
8_column_3_row_1_SGD;875520;0.9584442370403943;
8_column_4_row_1_SGD;655360;0.9592477036588165;
8_column_5_row_1_SGD;527360;0.9588085741714347;
8_column_1_row_2_SGD;1310720;0.9597605036173472;
8_column_2_row_2_SGD;655360;0.9595748218430874;
8_column_3_row_2_SGD;437760;0.9589665773733413;
8_column_4_row_2_SGD;327680;0.9607917967846749;
8_column_5_row_2_SGD;263680;0.9631336811994005;
8_column_1_row_3_SGD;875520;0.9566936479813432;
8_column_2_row_3_SGD;437760;0.9599994239306038;
8_column_3_row_3_SGD;292410;0.96060121777427;
8_column_4_row_3_SGD;218880;0.9540998662802332;
8_column_5_row_3_SGD;176130;0.9606994200925764;
8_column_1_row_4_SGD;655360;0.9592252585587852;
8_column_2_row_4_SGD;327680;0.9603216211459723;
8_column_3_row_4_SGD;218880;0.9613194787672417;
8_column_4_row_4_SGD;163840;0.960834489540638;
8_column_5_row_4_SGD;131840;0.9596966882389331;
8_column_1_row_5_SGD;527360;0.9601640959639741;
8_column_2_row_5_SGD;263680;0.9628453542913169;
8_column_3_row_5_SGD;176130;0.9605815126848721;
8_column_4_row_5_SGD;131840;0.9598715759994171;
8_column_5_row_5_SGD;106090;0.9637175405548719;
8_column_1_row_1_Ridge;2621440;0.9621258104000048;
8_column_2_row_1_Ridge;1310720;0.9620158943552832;
8_column_3_row_1_Ridge;875520;0.9622772507739744;
8_column_4_row_1_Ridge;655360;0.9618139842487734;
8_column_5_row_1_Ridge;527360;0.9621095344764579;
8_column_1_row_2_Ridge;1310720;0.9626365629845108;
8_column_2_row_2_Ridge;655360;0.962620476368632;
8_column_3_row_2_Ridge;437760;0.9625436435717333;
8_column_4_row_2_Ridge;327680;0.9624580703145078;
8_column_5_row_2_Ridge;263680;0.9622333046791779;
8_column_1_row_3_Ridge;875520;0.9618281016451463;
8_column_2_row_3_Ridge;437760;0.9615929048446094;
8_column_3_row_3_Ridge;292410;0.9619835277338461;
8_column_4_row_3_Ridge;218880;0.9606320087254909;
8_column_5_row_3_Ridge;176130;0.961963672142547;
8_column_1_row_4_Ridge;655360;0.9624082997105865;
8_column_2_row_4_Ridge;327680;0.9623229934293402;
8_column_3_row_4_Ridge;218880;0.962203826535569;
8_column_4_row_4_Ridge;163840;0.9620959397371079;
8_column_5_row_4_Ridge;131840;0.9620078006748025;
8_column_1_row_5_Ridge;527360;0.9631172534453151;
8_column_2_row_5_Ridge;263680;0.9630264090085239;
8_column_3_row_5_Ridge;176130;0.9630988059163643;
8_column_4_row_5_Ridge;131840;0.9629757205711362;
8_column_5_row_5_Ridge;106090;0.9626417332173228;
9_column_1_row_1_SGD;2621440;0.9645789044395122;
9_column_2_row_1_SGD;1310720;0.9648693164530011;
9_column_3_row_1_SGD;875520;0.9647953874684999;
9_column_4_row_1_SGD;655360;0.9684638966042167;
9_column_5_row_1_SGD;527360;0.9644827305520111;
9_column_1_row_2_SGD;1310720;0.9645044559313808;
9_column_2_row_2_SGD;655360;0.9691283165390676;
9_column_3_row_2_SGD;437760;0.965096388481414;
9_column_4_row_2_SGD;327680;0.9638605699258518;
9_column_5_row_2_SGD;263680;0.9653201286659296;
9_column_1_row_3_SGD;875520;0.9614943663308396;
9_column_2_row_3_SGD;437760;0.9648949315691664;
9_column_3_row_3_SGD;292410;0.9687578078353178;
9_column_4_row_3_SGD;218880;0.9580563656411462;
9_column_5_row_3_SGD;176130;0.9641447608495044;
9_column_1_row_4_SGD;655360;0.9635559980573651;
9_column_2_row_4_SGD;327680;0.9663073555006781;
9_column_3_row_4_SGD;218880;0.9636828831182573;
9_column_4_row_4_SGD;163840;0.9628393924790943;
9_column_5_row_4_SGD;131840;0.9617758624976142;
9_column_1_row_5_SGD;527360;0.9655678170487156;
9_column_2_row_5_SGD;263680;0.966083542912257;
9_column_3_row_5_SGD;176130;0.9664025262227942;
9_column_4_row_5_SGD;131840;0.9679698620080854;
9_column_5_row_5_SGD;106090;0.9693431599553474;
9_column_1_row_1_Ridge;2621440;0.9661788646887369;
9_column_2_row_1_Ridge;1310720;0.9661133119374721;
9_column_3_row_1_Ridge;875520;0.9662788939210536;
9_column_4_row_1_Ridge;655360;0.9659103430661038;
9_column_5_row_1_Ridge;527360;0.9662446737678226;
9_column_1_row_2_Ridge;1310720;0.9666590986092691;
9_column_2_row_2_Ridge;655360;0.966612281036895;
9_column_3_row_2_Ridge;437760;0.9666279004639425;
9_column_4_row_2_Ridge;327680;0.9665066195822173;
9_column_5_row_2_Ridge;263680;0.9663865078998338;
9_column_1_row_3_Ridge;875520;0.9659679355231687;
9_column_2_row_3_Ridge;437760;0.9657551473643922;
9_column_3_row_3_Ridge;292410;0.96598885714359;
9_column_4_row_3_Ridge;218880;0.9649174563931227;
9_column_5_row_3_Ridge;176130;0.9661519756817509;
9_column_1_row_4_Ridge;655360;0.9664168568504732;
9_column_2_row_4_Ridge;327680;0.96635136916258;
9_column_3_row_4_Ridge;218880;0.9663106627045006;
9_column_4_row_4_Ridge;163840;0.9661863671248107;
9_column_5_row_4_Ridge;131840;0.9660271751989071;
9_column_1_row_5_Ridge;527360;0.9670504024848378;
9_column_2_row_5_Ridge;263680;0.9669671380196475;
9_column_3_row_5_Ridge;176130;0.9669807846219197;
9_column_4_row_5_Ridge;131840;0.966981752403277;
9_column_5_row_5_Ridge;106090;0.9665657997984771;
10_column_1_row_1_SGD;2621440;0.9724700772743716;
10_column_2_row_1_SGD;1310720;0.9710344859085424;
10_column_3_row_1_SGD;875520;0.9670236990437074;
10_column_4_row_1_SGD;655360;0.9675697062013565;
10_column_5_row_1_SGD;527360;0.9717618745746092;
10_column_1_row_2_SGD;1310720;0.9651358828761836;
10_column_2_row_2_SGD;655360;0.9712652636690107;
10_column_3_row_2_SGD;437760;0.9695171398667295;
10_column_4_row_2_SGD;327680;0.9661844718165332;
10_column_5_row_2_SGD;263680;0.9678959376996278;
10_column_1_row_3_SGD;875520;0.9729084643213478;
10_column_2_row_3_SGD;437760;0.9632006318143673;
10_column_3_row_3_SGD;292410;0.9666264018352322;
10_column_4_row_3_SGD;218880;0.9672320140372728;
10_column_5_row_3_SGD;176130;0.9686431906214115;
10_column_1_row_4_SGD;655360;0.9684451608746395;
10_column_2_row_4_SGD;327680;0.9681041192771974;
10_column_3_row_4_SGD;218880;0.9654015536145907;
10_column_4_row_4_SGD;163840;0.9656870988482249;
10_column_5_row_4_SGD;131840;0.9701344681611564;
10_column_1_row_5_SGD;527360;0.9687408745481146;
10_column_2_row_5_SGD;263680;0.9680898416215462;
10_column_3_row_5_SGD;176130;0.9690101152914368;
10_column_4_row_5_SGD;131840;0.9737395452185884;
10_column_5_row_5_SGD;106090;0.968938831587383;
10_column_1_row_1_Ridge;2621440;0.9694733869899889;
10_column_2_row_1_Ridge;1310720;0.9694056655042242;
10_column_3_row_1_Ridge;875520;0.9695903381411906;
10_column_4_row_1_Ridge;655360;0.9691593970550918;
10_column_5_row_1_Ridge;527360;0.9696425385361354;
10_column_1_row_2_Ridge;1310720;0.9699811078270313;
10_column_2_row_2_Ridge;655360;0.9699262709449458;
10_column_3_row_2_Ridge;437760;0.9699770160947236;
10_column_4_row_2_Ridge;327680;0.9698279130795563;
10_column_5_row_2_Ridge;263680;0.9697762290156763;
10_column_1_row_3_Ridge;875520;0.9692056004846871;
10_column_2_row_3_Ridge;437760;0.9690470932943124;
10_column_3_row_3_Ridge;292410;0.9692512635730614;
10_column_4_row_3_Ridge;218880;0.9682521694493934;
10_column_5_row_3_Ridge;176130;0.9694714798365212;
10_column_1_row_4_Ridge;655360;0.9697768756277562;
10_column_2_row_4_Ridge;327680;0.9696821116827771;
10_column_3_row_4_Ridge;218880;0.9697190713508366;
10_column_4_row_4_Ridge;163840;0.969509750737743;
10_column_5_row_4_Ridge;131840;0.9694510337143287;
10_column_1_row_5_Ridge;527360;0.9703211698550637;
10_column_2_row_5_Ridge;263680;0.9702401503065603;
10_column_3_row_5_Ridge;176130;0.9702181149245632;
10_column_4_row_5_Ridge;131840;0.9701834911405847;
10_column_5_row_5_Ridge;106090;0.9700783702592559;
15_column_1_row_1_SGD;2621440;0.97732866727599;
15_column_2_row_1_SGD;1310720;0.9792206618418519;
15_column_3_row_1_SGD;875520;0.9808949328952219;
15_column_4_row_1_SGD;655360;0.9744880456702503;
15_column_5_row_1_SGD;527360;0.9796554205241181;
15_column_1_row_2_SGD;1310720;0.978508678956571;
15_column_2_row_2_SGD;655360;0.975976210218718;
15_column_3_row_2_SGD;437760;0.9756492263128579;
15_column_4_row_2_SGD;327680;0.9786540217257594;
15_column_5_row_2_SGD;263680;0.9796210318862589;
15_column_1_row_3_SGD;875520;0.9828586231315071;
15_column_2_row_3_SGD;437760;0.9868622965995065;
15_column_3_row_3_SGD;292410;0.9771490047936036;
15_column_4_row_3_SGD;218880;0.9782802133591513;
15_column_5_row_3_SGD;176130;0.9787518951443609;
15_column_1_row_4_SGD;655360;0.9800270762818598;
15_column_2_row_4_SGD;327680;0.9811660322594138;
15_column_3_row_4_SGD;218880;0.978323912899543;
15_column_4_row_4_SGD;163840;0.9758285017341048;
15_column_5_row_4_SGD;131840;0.9762260014862295;
15_column_1_row_5_SGD;527360;0.9794932744418796;
15_column_2_row_5_SGD;263680;0.9772509216122444;
15_column_3_row_5_SGD;176130;0.9790659501713884;
15_column_4_row_5_SGD;131840;0.9821912859136556;
15_column_5_row_5_SGD;106090;0.9777714253712043;
15_column_1_row_1_Ridge;2621440;0.9795625146886475;
15_column_2_row_1_Ridge;1310720;0.9794992913365859;
15_column_3_row_1_Ridge;875520;0.9795783299202621;
15_column_4_row_1_Ridge;655360;0.9794080823581702;
15_column_5_row_1_Ridge;527360;0.9797170271708974;
15_column_1_row_2_Ridge;1310720;0.9798736007885148;
15_column_2_row_2_Ridge;655360;0.9798802118592786;
15_column_3_row_2_Ridge;437760;0.9797824573470604;
15_column_4_row_2_Ridge;327680;0.9798297975809522;
15_column_5_row_2_Ridge;263680;0.9797739805457037;
15_column_1_row_3_Ridge;875520;0.9794241788175034;
15_column_2_row_3_Ridge;437760;0.9793785721305834;
15_column_3_row_3_Ridge;292410;0.9794106437198302;
15_column_4_row_3_Ridge;218880;0.979008669310412;
15_column_5_row_3_Ridge;176130;0.979553998956287;
15_column_1_row_4_Ridge;655360;0.9797455966208835;
15_column_2_row_4_Ridge;327680;0.9797611491640498;
15_column_3_row_4_Ridge;218880;0.9795764897693547;
15_column_4_row_4_Ridge;163840;0.9797085333667599;
15_column_5_row_4_Ridge;131840;0.9795047446798912;
15_column_1_row_5_Ridge;527360;0.9801231367204652;
15_column_2_row_5_Ridge;263680;0.9799542329108277;
15_column_3_row_5_Ridge;176130;0.9800501858666356;
15_column_4_row_5_Ridge;131840;0.9800560509912011;
15_column_5_row_5_Ridge;106090;0.9800235970630995;
20_column_1_row_1_SGD;2621440;0.9824379972792051;
20_column_2_row_1_SGD;1310720;0.9849857054090381;
20_column_3_row_1_SGD;875520;0.98673273197123;
20_column_4_row_1_SGD;655360;0.9878028937871204;
20_column_5_row_1_SGD;527360;0.9840948720737839;
20_column_1_row_2_SGD;1310720;0.9835029608727066;
20_column_2_row_2_SGD;655360;0.9854399061324185;
20_column_3_row_2_SGD;437760;0.9850512106707943;
20_column_4_row_2_SGD;327680;0.9857632476495658;
20_column_5_row_2_SGD;263680;0.9854388745954534;
20_column_1_row_3_SGD;875520;0.986239433449881;
20_column_2_row_3_SGD;437760;0.988056107005179;
20_column_3_row_3_SGD;292410;0.9827272051266717;
20_column_4_row_3_SGD;218880;0.9934662925637835;
20_column_5_row_3_SGD;176130;0.982233484634258;
20_column_1_row_4_SGD;655360;0.9854374826404572;
20_column_2_row_4_SGD;327680;0.9846857966675787;
20_column_3_row_4_SGD;218880;0.9847655680015055;
20_column_4_row_4_SGD;163840;0.9854398454016167;
20_column_5_row_4_SGD;131840;0.9821243013555272;
20_column_1_row_5_SGD;527360;0.9852605701893115;
20_column_2_row_5_SGD;263680;0.9831491668113602;
20_column_3_row_5_SGD;176130;0.9861279797710439;
20_column_4_row_5_SGD;131840;0.9849893342938301;
20_column_5_row_5_SGD;106090;0.9849175728028211;
20_column_1_row_1_Ridge;2621440;0.9847018801676395;
20_column_2_row_1_Ridge;1310720;0.9846314263102566;
20_column_3_row_1_Ridge;875520;0.984696566144416;
20_column_4_row_1_Ridge;655360;0.9845667033744335;
20_column_5_row_1_Ridge;527360;0.9847450744833405;
20_column_1_row_2_Ridge;1310720;0.9849067687669482;
20_column_2_row_2_Ridge;655360;0.9848809924051981;
20_column_3_row_2_Ridge;437760;0.9848367226894351;
20_column_4_row_2_Ridge;327680;0.9849014114712341;
20_column_5_row_2_Ridge;263680;0.984782959495995;
20_column_1_row_3_Ridge;875520;0.9845979331864276;
20_column_2_row_3_Ridge;437760;0.984527493542682;
20_column_3_row_3_Ridge;292410;0.9845494732470643;
20_column_4_row_3_Ridge;218880;0.9843383266086974;
20_column_5_row_3_Ridge;176130;0.9846184919282571;
20_column_1_row_4_Ridge;655360;0.9847936862778347;
20_column_2_row_4_Ridge;327680;0.9847503728169199;
20_column_3_row_4_Ridge;218880;0.9846564617022961;
20_column_4_row_4_Ridge;163840;0.984823673834053;
20_column_5_row_4_Ridge;131840;0.9845266523496794;
20_column_1_row_5_Ridge;527360;0.9850920558623808;
20_column_2_row_5_Ridge;263680;0.9848990971496439;
20_column_3_row_5_Ridge;176130;0.9850267471642196;
20_column_4_row_5_Ridge;131840;0.9849453199443569;
20_column_5_row_5_Ridge;106090;0.984884360485246;
25_column_1_row_1_SGD;2621440;0.9881595514701959;
25_column_2_row_1_SGD;1310720;0.9859865116260224;
25_column_3_row_1_SGD;875520;0.9847724304723485;
25_column_4_row_1_SGD;655360;0.9853021745369607;
25_column_5_row_1_SGD;527360;0.9878803861385836;
25_column_1_row_2_SGD;1310720;0.9900690526434912;
25_column_2_row_2_SGD;655360;0.9897782072498549;
